llm_score,sentiment,length_sec,keyword_hit,text,clip_path,predicted_score,label
8,-0.05,55.4,0," You can break physically.  You can break mentally.  You can break your spirit.  Because every time you break and in every way that you break,",output/my_video_clip_1.mp4,88,1
8,0.0,21.0,0," And as you crawl up and out of that dismal and wretched place, as you rise above what you were, and as you take the form of who you are supposed to be,",output/my_video_clip_2.mp4,87,1
8,0.8,80.0,0, Because I'm a fighter.  Because I win.,output/my_videosk1_clip_1.mp4,100,1
7,0.0,75.0,0," If you give everything you've got,  I gave everything that I had.",output/my_videosk1_clip_2.mp4,86,1
7,0.4,28.88,0, I was born in it molded by it I didn't see the light until I was already,output/Out_Work_Everyone_clip_1.mp4,94,1
7,-0.21250000000000002,70.72,0, and you're gonna fail and you're gonna fail and then you're gonna win if you are experiencing a losing  do you get to fail and fail and fail and fail and all you gotta do is make more,output/Out_Work_Everyone_clip_2.mp4,81,1
7,0.5,72.56,0," You're not just losing time,  You don't need more time.","output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_1.mp4",96,1
7,0.0,65.2,0, It activates the same dopamine pathways  You teach your dopamine system that effort itself is the signal,"output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_2.mp4",86,1
5,0.39999999999999997,62.72,1," And that kind of motivation doesn't last.  Now, that kind of intrinsic motivation","output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_4.mp4",100,1
5,0.0,57.84,0, in the prefrontal cortex  There's a system in the brain called the salience network.,"output/Master Your Mindset, Conquer Your Path – ANDREW HUBERMAN BEST MOTIVATION_clip_5.mp4",78,1
8,0.5,72.56,0," You're not just losing time,  You don't need more time.",/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_1.mp4,100,1
7,0.0,65.2,0, It activates the same dopamine pathways  You teach your dopamine system that effort itself is the signal,/Users/rajatpednekar/Documents/Applications/podcast-to-reels/backend/static/6abf79793fed49fc8229548cfb079ea8_Test1_clip_2.mp4,86,1
