llm_score,sentiment,length_sec,keyword_hit,text,clip_path,predicted_score,label
8,0.0,65.56,0, Composure under pressure is not just a personal strength.  It's the ability to maintain composure when the pressure is on.,output/How Calmness Will Lead You to Success – David Gogg_clip_1.mp4,90,1.0
8,0.125,81.04,0, Resilience is not about avoiding difficulties.  The ability to stay calm is not just about surviving obstacles.,output/How Calmness Will Lead You to Success – David Gogg_clip_2.mp4,92,0.0
7,0.255555555555556,60.04,1," It's about understanding that success is a marathon, not a sprint, and that each step  It's about understanding that the path to success is not a sprint, but a steady deliberate",output/How Calmness Will Lead You to Success – David Gogg_clip_3.mp4,100,1.0
6,0.0,22.0,0," your emotions from the situation at hand.  that are grounded in reality, not in your emotional responses.",output/How Calmness Will Lead You to Success – David Gogg_clip_4.mp4,81,0.0
8,0.336734693877551,37.0,0," Get better every single day.  But that's how you get better.  you ask yourself, did I get better today?  Are you getting better every single day?  It's the process of getting better every day,",output/Kobe Bryant CHAMPION MINDSET - What Separates the _clip_1.mp4,96,0.0
7,0.0,34.0,0, What I've learned is to always keep going.  But I'm just going to keep going.  You have to keep going.,output/Kobe Bryant CHAMPION MINDSET - What Separates the _clip_2.mp4,86,1.0
8,0.5,33.92,1," You know, I've always had visions of better. I've always visualized better and in times of struggle.  So I always visualized good things. I always visualized victory, success, abundance.",output/𝐓𝐡𝐞 𝐋𝐚𝐰 o𝐟 𝐀𝐭𝐭𝐫𝐚𝐜𝐭𝐢𝐨𝐧._clip_1.mp4,100,1.0
8,0.10551948051948,52.56,0, up with is that live your life like you're the hero in your movie and right now this  You got to think that you are the hero in your own fucking movie and then you get to sit,output/RETRAIN YOUR MIND - New Motivational Video (JOE RO_clip_1.mp4,92,1.0
8,-0.2875,43.2,0, And it gives you a horrible sense of regret that's made you define yourself by that.  So you got to regulate how much you dwell on regrets of the past.,output/RETRAIN YOUR MIND - New Motivational Video (JOE RO_clip_2.mp4,84,0.0
6,0.0,28.08,0, Things that are difficult when you do these difficult things you're stressing your mind  or don't you stress in your mind exercising your mind and exercising your body's ability  The more stressful situations that I experience the more I understand what they are and the,output/RETRAIN YOUR MIND - New Motivational Video (JOE RO_clip_3.mp4,82,0.0
6,-0.155555555555556,50.12,0, Write down what you need to do.  Write down everything you want to do.,output/RETRAIN YOUR MIND - New Motivational Video (JOE RO_clip_4.mp4,78,1.0
6,-0.127777777777778,56.88,0, he calls it resistance and you have to sit down and you have to overcome resistance and  And that there is this thing that comes up that tries to keep you from doing this resistance.,output/RETRAIN YOUR MIND - New Motivational Video (JOE RO_clip_5.mp4,79,1.0
8,0.223511904761905,26.0,0," When the fight goes like this, Dean Ali comes out to meet Frazier but Frazier starts to retreat.  If Frazier goes back an inch farther he'll wind up in a rain sat seat. Ali swings at the left. Ali swings at the right.  Look at the kid carry the fight. Frazier keeps back and but there's not enough room.  It's a matter of time there Ali laws the boom. Now Ali lands at the right. What a beautiful swing and the puzzler's Frazier clean out of the rain.",output/I WILL WIN - Powerful Motivational Speech (Featuri_clip_1.mp4,94,0.0
7,0.84,35.0,0, I'm the real champion. There'll never be one like me. I'm going to prove it on the greatest. I'm improving it. You're on the greatest.  I'm the king of the world. I must be the greatest. I must be the greatest.,output/I WILL WIN - Powerful Motivational Speech (Featuri_clip_2.mp4,100,1.0
6,0.463888888888889,61.0,0, I'm going to prove his whole world that I'm still the best. I'll always be the best. I cannot lose. It's impossible for me to lose.  I am the greatest. I cannot lose. I'm pretty.,output/I WILL WIN - Powerful Motivational Speech (Featuri_clip_3.mp4,91,1.0
7,0.0872222222222222,47.04,0," unwed graduate student and she decided to put me up for adoption. She felt very strongly that I  should be adopted by college graduates, so everything was all set for me to be adopted at birth by  graduated from high school. She refused to sign the final adoption papers. She only relented a few",output/One of the Greatest Speeches Ever ｜ Steve Jobs_clip_1.mp4,87,0.0
6,0.575,20.16,0," example. Read college at that time offered perhaps the best calligraphy instruction in the country.  Because I had dropped out and didn't have to take the normal classes, I decided to take a calligraphy",output/One of the Greatest Speeches Ever ｜ Steve Jobs_clip_2.mp4,89,0.0
6,0.0,66.0,0," Quit it, quit it!  Quit it!  And I've decided to quit.","output/Random, Awesome Simpsons Clips Vol 1_clip_1.mp4",82,1.0
4,0.25,23.0,0," Next on McGonagall.  But I'm so scared, McGonagall.  McGonagall.  Okay, for you, McGonagall.","output/Random, Awesome Simpsons Clips Vol 1_clip_2.mp4",78,0.0
2,0.0,20.0,0," No, no, no, no.  No, no, no, no, no, no.  No, no, no, no, no, no.  No, no, no.","output/Random, Awesome Simpsons Clips Vol 1_clip_3.mp4",61,0.0
6,0.2,25.0,0, I'll bet my whole house on this road.  He's bet his whole house.,output/Sidemen Among Us But The Lobby Has 0 IQ_clip_1.mp4,86,0.0
5,0.5,28.0,0, It's Simon.  Dad just convinced it's Simon and he said he'd better his house on it being Simon.,output/Sidemen Among Us But The Lobby Has 0 IQ_clip_2.mp4,88,1.0
4,0.0,24.8,0, I was standing still.  I just standing still.,output/Sidemen Among Us But The Lobby Has 0 IQ_clip_3.mp4,74,0.0
3,3.70074341541719E-17,21.6,0, Welcome back to Sidemen reaction today. We are  We are the Sidemen. We play among us and we all do stupid things from time to time.,output/Sidemen Among Us But The Lobby Has 0 IQ_clip_4.mp4,68,1.0
3,0.0,81.2,0, I would do it again as well.  I would have done as well.,output/Sidemen Among Us But The Lobby Has 0 IQ_clip_5.mp4,70,0.0
6,0.0,51.6,0," hey, I wanna...  hey, I wanna talk to you.",output/How To Approach A Girl？ Shared By Sanjana Sanghi ｜_clip_1.mp4,82,0.0
3,0.0,52.28,0," Yeah, so come up to you and be like,  just wanna come to you and be like,",output/How To Approach A Girl？ Shared By Sanjana Sanghi ｜_clip_2.mp4,70,0.0
1,-0.5,25.56,0," cheesy pick up lines.  Yeah, pick up lines,  like some pick up line.",output/How To Approach A Girl？ Shared By Sanjana Sanghi ｜_clip_3.mp4,52,0.0
1,0.0,28.92,0," Yeah.  Yeah.  Oh, yeah.  Yeah.",output/How To Approach A Girl？ Shared By Sanjana Sanghi ｜_clip_4.mp4,62,0.0
7,-0.143333333333333,71.8,1," And that's where people say now you're going to fail in your life  People say now you're going to fail, that's a neural pattern that's formed in your head  And if you're scared of failing  Like it's better if you see failure early in your life",output/Why Are You FAILING？ ｜ Failure Motivation For All 18-25 Year Old ｜ BeerBiceps Motivation [JIAu2VFwHi4]_clip_1.mp4,98,1.0
6,-0.316666666666667,45.96,1, You know I follow auto bio if you ever yogi  Auto bio yogi says one line about failure,output/Why Are You FAILING？ ｜ Failure Motivation For All 18-25 Year Old ｜ BeerBiceps Motivation [JIAu2VFwHi4]_clip_2.mp4,90,1.0
4,0.5,46.84,0," Okay bro  Okay, bro, remember one thing",output/Why Are You FAILING？ ｜ Failure Motivation For All 18-25 Year Old ｜ BeerBiceps Motivation [JIAu2VFwHi4]_clip_3.mp4,84,0.0
4,0.5,53.44,0," When it comes to fear, there's one thing said about fear, okay  When you look at fear in the eye, it's okay, bro",output/Why Are You FAILING？ ｜ Failure Motivation For All 18-25 Year Old ｜ BeerBiceps Motivation [JIAu2VFwHi4]_clip_4.mp4,84,1.0
8,-0.3,42.0,0, Fail big.  Fail big.  Don't be afraid to fail big.,output/denzel_motivation_clip_1.mp4,84,1.0
7,-0.291666666666667,64.0,0, Hard work.  Work hard to get it.,output/denzel_motivation_clip_2.mp4,80,1.0
4,0.0,72.0,0, Life goals.  Yearly goals.  Monthly goals.  Daily goals.  Continue to have goals.,output/denzel_motivation_clip_3.mp4,74,0.0
9,0.45,25.6,0," Your story may not have such a happy beginning, but look how it turned out!  Your story may not have such a happy beginning, but that doesn't make you who you are.",output/Kung Fu Panda ｜ Who Are You_clip_1.mp4,100,1.0
8,0.0,20.0,0," You stayed?  Yeah, I stayed.  I stayed because every time you threw a brick at my head or said I smelled,  I stayed because I thought if anyone could change me,",output/Kung Fu Panda ｜ Who Are You_clip_2.mp4,85,1.0
6,0.5,22.0,0," I love you too, son.  I love you.",output/Kung Fu Panda ｜ Who Are You_clip_3.mp4,91,0.0
